ID,CVF,prosity,E,mu,Strength,figure
471,0.18,49,1.35E+11,0.2753,853562938,471.png
472,0.18,41,1.36E+11,0.27548,856175740.8,472.png
473,0.18,38,1.36E+11,0.28111,847157581.3,473.png
474,0.18,48,1.35E+11,0.27109,915597134.1,474.png
475,0.18,33,1.39E+11,0.26866,943094331.2,475.png
476,0.19,37,1.39E+11,0.28186,898365402.8,476.png
477,0.19,39,1.39E+11,0.26885,906603151.4,477.png
478,0.19,42,1.37E+11,0.27484,823935603,478.png
479,0.19,36,1.39E+11,0.27634,893344485.4,479.png
480,0.19,26,1.41E+11,0.26765,977112253.2,480.png
481,0.19,45,1.38E+11,0.27503,874873803,481.png
482,0.19,41,1.41E+11,0.26529,900271765.5,482.png
483,0.19,51,1.37E+11,0.28483,891446442.6,483.png
484,0.19,43,1.38E+11,0.27862,916750534.8,484.png
485,0.19,40,1.39E+11,0.27052,927706833.7,485.png
486,0.19,37,1.40E+11,0.27785,928386360.2,486.png
487,0.19,37,1.40E+11,0.27763,864776234.6,487.png
488,0.19,36,1.38E+11,0.28707,913325938.7,488.png
489,0.19,33,1.40E+11,0.26506,831469930.9,489.png
490,0.19,39,1.39E+11,0.27647,870462412.7,490.png
491,0.19,36,1.40E+11,0.26598,882060400.1,491.png
492,0.19,38,1.39E+11,0.2729,931223951.6,492.png
493,0.19,34,1.40E+11,0.27921,932666336.8,493.png
494,0.19,33,1.40E+11,0.26627,908388607.3,494.png
495,0.19,39,1.38E+11,0.2721,945690760.2,495.png
496,0.19,45,1.38E+11,0.26723,805931776.7,496.png
497,0.19,43,1.37E+11,0.26619,916298211.7,497.png
498,0.19,38,1.40E+11,0.27404,917779792.2,498.png
499,0.19,48,1.36E+11,0.26731,800758470.2,499.png
500,0.19,40,1.40E+11,0.27112,900862361.3,500.png
501,0.2,44,1.40E+11,0.26427,919874426.7,501.png
502,0.2,37,1.42E+11,0.27031,964184476.9,502.png
503,0.2,37,1.40E+11,0.26465,787707862.7,503.png
504,0.2,35,1.42E+11,0.2825,989885780.2,504.png
505,0.2,30,1.43E+11,0.26938,887830808.8,505.png
506,0.2,45,1.39E+11,0.27643,868645987.1,506.png
507,0.2,36,1.42E+11,0.26926,902169077.5,507.png
508,0.2,37,1.43E+11,0.27203,969087264.1,508.png
509,0.2,38,1.41E+11,0.25495,888362467,509.png
510,0.2,40,1.41E+11,0.27121,957184130.7,510.png
511,0.2,38,1.41E+11,0.27785,938211658.5,511.png
512,0.2,37,1.42E+11,0.27783,952655005.2,512.png
513,0.2,37,1.40E+11,0.27191,913256736.8,513.png
514,0.2,39,1.42E+11,0.27986,922996419,514.png
515,0.2,33,1.43E+11,0.26641,855332020.6,515.png
516,0.2,43,1.40E+11,0.26891,929352548.1,516.png
517,0.2,33,1.44E+11,0.26177,894318647,517.png
518,0.2,45,1.40E+11,0.26532,933207381.1,518.png
519,0.2,56,1.39E+11,0.28091,915271922.5,519.png
520,0.2,40,1.41E+11,0.25691,957751398.8,520.png
521,0.2,46,1.42E+11,0.27375,920093020.2,521.png
522,0.2,31,1.42E+11,0.267,961555160.5,522.png
523,0.2,31,1.44E+11,0.2736,921192781.9,523.png
524,0.2,52,1.40E+11,0.2777,881732466.3,524.png
525,0.2,49,1.40E+11,0.27487,913311967.1,525.png
526,0.21,34,1.46E+11,0.2681,958028505.3,526.png
527,0.21,34,1.45E+11,0.26256,915362118.8,527.png
528,0.21,52,1.42E+11,0.27622,866196856.1,528.png
529,0.21,46,1.43E+11,0.26071,873511098.1,529.png
530,0.21,41,1.44E+11,0.26388,782775009.4,530.png
531,0.21,23,1.48E+11,0.26913,969939472.8,531.png
532,0.21,44,1.42E+11,0.26832,899583976.5,532.png
533,0.21,40,1.46E+11,0.26955,928690227.9,533.png
534,0.21,39,1.46E+11,0.27182,847183065.5,534.png
535,0.21,38,1.44E+11,0.26105,932204548,535.png
536,0.21,39,1.45E+11,0.26533,868240275,536.png
537,0.21,28,1.46E+11,0.26504,943559538.1,537.png
538,0.21,46,1.44E+11,0.28582,902896132.6,538.png
539,0.21,25,1.49E+11,0.26576,969098746.1,539.png
540,0.21,41,1.45E+11,0.26748,960586108.3,540.png
541,0.21,39,1.43E+11,0.279,935275953.6,541.png
542,0.21,41,1.44E+11,0.27292,946540136.3,542.png
543,0.21,35,1.45E+11,0.27983,936296057,543.png
544,0.21,40,1.43E+11,0.26006,868277718.4,544.png
545,0.21,42,1.43E+11,0.27241,927806190.8,545.png
546,0.21,40,1.43E+11,0.26721,918985556.3,546.png
547,0.21,41,1.43E+11,0.27269,897575565.7,547.png
548,0.21,31,1.47E+11,0.26804,930191401.4,548.png
549,0.21,45,1.42E+11,0.26931,939402051.6,549.png
550,0.21,42,1.43E+11,0.2635,936553647.7,550.png
551,0.22,40,1.48E+11,0.27317,1006995808,551.png
552,0.22,39,1.46E+11,0.27139,912941982.7,552.png
553,0.22,39,1.47E+11,0.25836,997186033.4,553.png
554,0.22,44,1.45E+11,0.26685,1003388848,554.png
555,0.22,31,1.46E+11,0.27211,963862211,555.png
556,0.22,29,1.49E+11,0.26897,910708623.2,556.png
557,0.22,46,1.44E+11,0.26239,846597567,557.png
558,0.22,36,1.48E+11,0.26538,967029868,558.png
559,0.22,42,1.46E+11,0.25195,967528088.4,559.png
560,0.22,35,1.47E+11,0.26189,1004783094,560.png
561,0.22,31,1.47E+11,0.25943,840112050,561.png
562,0.22,33,1.47E+11,0.2661,894049496.8,562.png
563,0.22,43,1.46E+11,0.26046,932644998.7,563.png
564,0.22,43,1.47E+11,0.26005,776054779.3,564.png
565,0.22,37,1.46E+11,0.26501,923253402.7,565.png
566,0.22,44,1.45E+11,0.27303,892700176.6,566.png
567,0.22,37,1.46E+11,0.26799,1003351542,567.png
568,0.22,35,1.49E+11,0.27108,1012032612,568.png
569,0.22,33,1.47E+11,0.27057,951473064.8,569.png
570,0.22,48,1.43E+11,0.26147,891400119.6,570.png
571,0.22,37,1.48E+11,0.27835,1001185465,571.png
572,0.22,36,1.48E+11,0.2683,966864714.8,572.png
573,0.22,41,1.46E+11,0.26893,900870438.3,573.png
574,0.22,26,1.50E+11,0.26349,978563523.6,574.png
575,0.22,36,1.46E+11,0.2673,954197642.2,575.png
576,0.23,39,1.48E+11,0.27137,950253560.6,576.png
577,0.23,39,1.48E+11,0.25738,864107514.7,577.png
578,0.23,44,1.48E+11,0.26556,916676330.9,578.png
579,0.23,37,1.48E+11,0.26038,949563864.7,579.png
580,0.23,34,1.49E+11,0.26745,951251712.2,580.png
581,0.23,31,1.51E+11,0.26836,972566263.3,581.png
582,0.23,35,1.49E+11,0.25634,981137358.2,582.png
583,0.23,38,1.48E+11,0.26389,1002082523,583.png
584,0.23,44,1.48E+11,0.2636,976075963.1,584.png
585,0.23,58,1.45E+11,0.26014,923705870.9,585.png
586,0.23,36,1.50E+11,0.26885,871120483.1,586.png
587,0.23,40,1.48E+11,0.26927,1010591084,587.png
588,0.23,32,1.52E+11,0.26395,964867546.1,588.png
589,0.23,35,1.49E+11,0.26085,899772977.5,589.png
590,0.23,45,1.49E+11,0.26723,973731112.4,590.png
591,0.23,39,1.49E+11,0.26892,1003780481,591.png
592,0.23,32,1.50E+11,0.26156,1016995455,592.png
593,0.23,27,1.52E+11,0.26148,968609548.9,593.png
594,0.23,31,1.52E+11,0.25762,1027422886,594.png
595,0.23,42,1.47E+11,0.27209,934755882.7,595.png
596,0.23,44,1.49E+11,0.25832,857350666.5,596.png
597,0.23,59,1.45E+11,0.25899,860033090,597.png
598,0.23,37,1.50E+11,0.26393,1016728830,598.png
599,0.23,43,1.48E+11,0.26927,975308905.3,599.png
600,0.23,29,1.49E+11,0.26474,935322238.2,600.png
601,0.24,39,1.52E+11,0.26297,1018246304,601.png
602,0.24,41,1.49E+11,0.26794,953097141,602.png
603,0.24,32,1.53E+11,0.25559,948646756.2,603.png
604,0.24,34,1.53E+11,0.25686,1039352108,604.png
605,0.24,35,1.52E+11,0.2705,1014368901,605.png
606,0.24,42,1.53E+11,0.26453,970996943.3,606.png
607,0.24,35,1.51E+11,0.26727,980001439.1,607.png
608,0.24,37,1.53E+11,0.26085,947494322.4,608.png
609,0.24,34,1.53E+11,0.25633,990232012.8,609.png
610,0.24,26,1.56E+11,0.25457,976387511.4,610.png
611,0.24,42,1.50E+11,0.25903,957026796.6,611.png
612,0.24,39,1.52E+11,0.26069,992516891.6,612.png
613,0.24,36,1.52E+11,0.26425,1000305623,613.png
614,0.24,31,1.52E+11,0.26602,922563209.9,614.png
615,0.24,33,1.52E+11,0.26712,965898917.1,615.png
616,0.24,31,1.54E+11,0.27138,1011974140,616.png
617,0.24,54,1.49E+11,0.25952,931507373.3,617.png
618,0.24,32,1.53E+11,0.26164,998495736.9,618.png
619,0.24,39,1.53E+11,0.25993,984501836.2,619.png
620,0.24,38,1.52E+11,0.26336,985825624,620.png
621,0.24,37,1.54E+11,0.2548,1018132424,621.png
622,0.24,45,1.52E+11,0.25427,980590289.8,622.png
623,0.24,36,1.52E+11,0.25594,998577492.2,623.png
624,0.24,40,1.52E+11,0.2803,957420159.5,624.png
625,0.24,41,1.52E+11,0.26294,1013461868,625.png
626,0.25,39,1.54E+11,0.25368,936697725.5,626.png
627,0.25,37,1.54E+11,0.25378,949076516.2,627.png
628,0.25,31,1.55E+11,0.25897,1004940410,628.png
629,0.25,41,1.53E+11,0.25697,939974611.5,629.png
630,0.25,40,1.53E+11,0.25947,1005904337,630.png
631,0.25,41,1.53E+11,0.25711,952560212.8,631.png
632,0.25,35,1.54E+11,0.25684,1033044896,632.png
633,0.25,39,1.54E+11,0.24762,889736275,633.png
634,0.25,37,1.56E+11,0.25142,1020466896,634.png
635,0.25,39,1.55E+11,0.25418,1031743870,635.png
636,0.25,41,1.55E+11,0.26692,972672329.2,636.png
637,0.25,44,1.53E+11,0.25846,938277962.5,637.png
638,0.25,41,1.56E+11,0.25829,1001443393,638.png
639,0.25,34,1.54E+11,0.26183,890826672.4,639.png
640,0.25,32,1.55E+11,0.26258,895395479.3,640.png
641,0.25,41,1.54E+11,0.25467,1005387574,641.png
642,0.25,46,1.52E+11,0.26643,925818415.5,642.png
643,0.25,34,1.56E+11,0.25827,964039516.1,643.png
644,0.25,33,1.56E+11,0.25906,939664027.4,644.png
645,0.25,51,1.55E+11,0.26036,879993194.3,645.png
646,0.25,42,1.53E+11,0.25312,989739016.3,646.png
647,0.25,37,1.57E+11,0.25648,964563238.6,647.png
648,0.25,45,1.55E+11,0.25881,851088391.5,648.png
649,0.25,42,1.52E+11,0.26229,952403463.6,649.png
650,0.25,40,1.55E+11,0.26795,971087971.9,650.png
651,0.26,40,1.56E+11,0.24891,965526537.8,651.png
652,0.26,48,1.54E+11,0.25597,929187320.1,652.png
653,0.26,30,1.59E+11,0.24936,921569576.3,653.png
654,0.26,27,1.58E+11,0.253,975121324.7,654.png
655,0.26,41,1.58E+11,0.26074,918102871.9,655.png
656,0.26,36,1.57E+11,0.25098,984796459.8,656.png
657,0.26,38,1.58E+11,0.25099,958796561.3,657.png
658,0.26,35,1.58E+11,0.26333,1040464297,658.png
659,0.26,47,1.53E+11,0.26835,953808734.1,659.png
660,0.26,36,1.58E+11,0.26424,1015299863,660.png
661,0.26,36,1.57E+11,0.24986,946562337.1,661.png
662,0.26,38,1.57E+11,0.23688,983509852.2,662.png
663,0.26,43,1.56E+11,0.2623,1002280528,663.png
664,0.26,39,1.56E+11,0.25935,1001365903,664.png
665,0.26,33,1.58E+11,0.25297,969890680.5,665.png
666,0.26,28,1.59E+11,0.25849,965183877.6,666.png
667,0.26,40,1.56E+11,0.2636,842852383.4,667.png
668,0.26,33,1.59E+11,0.25976,949621134.8,668.png
669,0.26,46,1.56E+11,0.26076,1017493034,669.png
670,0.26,29,1.60E+11,0.25916,1033393741,670.png
671,0.26,37,1.58E+11,0.262,928544274.1,671.png
672,0.26,30,1.59E+11,0.25592,1014355386,672.png
673,0.26,34,1.56E+11,0.25941,942069239.7,673.png
674,0.26,46,1.54E+11,0.24976,868188613.4,674.png
675,0.26,37,1.56E+11,0.26009,960517904.3,675.png
676,0.27,39,1.60E+11,0.25398,965730658,676.png
677,0.27,42,1.62E+11,0.24444,963046524.2,677.png
678,0.27,30,1.61E+11,0.25841,1034437245,678.png
679,0.27,44,1.58E+11,0.25377,1002862307,679.png
680,0.27,51,1.57E+11,0.25868,988749319.3,680.png
681,0.27,34,1.59E+11,0.25213,998992690,681.png
682,0.27,32,1.61E+11,0.2559,986748314.6,682.png
683,0.27,44,1.59E+11,0.25632,963117090,683.png
684,0.27,48,1.59E+11,0.25834,1049458360,684.png
685,0.27,24,1.61E+11,0.2552,931872521,685.png
686,0.27,54,1.57E+11,0.25721,1007318281,686.png
687,0.27,32,1.61E+11,0.25569,944964722.7,687.png
688,0.27,30,1.61E+11,0.26241,997534018.5,688.png
689,0.27,42,1.58E+11,0.2521,937538067.3,689.png
690,0.27,35,1.60E+11,0.2594,1042858840,690.png
691,0.27,34,1.63E+11,0.24895,1065620778,691.png
692,0.27,49,1.58E+11,0.25286,922978728.3,692.png
693,0.27,39,1.61E+11,0.25118,981784699.2,693.png
694,0.27,33,1.59E+11,0.25435,1015096732,694.png
695,0.27,43,1.59E+11,0.25146,861611595.5,695.png
696,0.27,46,1.59E+11,0.25312,941851549,696.png
697,0.27,41,1.58E+11,0.26427,957453873.1,697.png
698,0.27,37,1.60E+11,0.2479,909238038.9,698.png
699,0.27,37,1.61E+11,0.26444,999072287.1,699.png
700,0.27,40,1.59E+11,0.25029,956041114.7,700.png
701,0.28,35,1.64E+11,0.24875,1061069777,701.png
702,0.28,34,1.64E+11,0.26094,1055529893,702.png
703,0.28,47,1.60E+11,0.24877,941825799.3,703.png
704,0.28,39,1.64E+11,0.25485,1099289035,704.png
705,0.28,38,1.62E+11,0.24728,959240719.1,705.png
706,0.28,39,1.62E+11,0.24895,1028780609,706.png
707,0.28,30,1.64E+11,0.24956,1003736598,707.png
708,0.28,45,1.61E+11,0.25276,1004856761,708.png
709,0.28,48,1.61E+11,0.25457,956666960.6,709.png
710,0.28,36,1.64E+11,0.24667,991116655.6,710.png
711,0.28,44,1.60E+11,0.25192,949471455.2,711.png
712,0.28,32,1.62E+11,0.25262,950496533.5,712.png
713,0.28,47,1.64E+11,0.25247,999410409.2,713.png
714,0.28,38,1.66E+11,0.25589,1064555604,714.png
715,0.28,41,1.62E+11,0.25307,1044280641,715.png
716,0.28,44,1.61E+11,0.25842,1017249884,716.png
717,0.28,37,1.63E+11,0.24428,981742567.1,717.png
718,0.28,39,1.60E+11,0.25239,964898596.2,718.png
719,0.28,40,1.63E+11,0.25091,1034189936,719.png
720,0.28,52,1.60E+11,0.25905,973537303.5,720.png
721,0.28,41,1.60E+11,0.25795,1012359899,721.png
722,0.28,34,1.65E+11,0.28258,1069483497,722.png
723,0.28,31,1.65E+11,0.25114,1006678301,723.png
724,0.28,28,1.64E+11,0.24935,1035730959,724.png
725,0.28,39,1.62E+11,0.25219,934339439.3,725.png
726,0.29,45,1.63E+11,0.24112,974368479.6,726.png
727,0.29,47,1.63E+11,0.29223,1016626829,727.png
728,0.29,43,1.65E+11,0.26127,1013317563,728.png
729,0.29,43,1.67E+11,0.24581,1018150806,729.png
730,0.29,39,1.65E+11,0.24529,1049380099,730.png
731,0.29,38,1.66E+11,0.25724,1023153595,731.png
732,0.29,21,1.69E+11,0.24197,1022193358,732.png
733,0.29,36,1.66E+11,0.25419,1073240196,733.png
734,0.29,40,1.64E+11,0.24595,1039152263,734.png
735,0.29,33,1.66E+11,0.25837,921949165.8,735.png
736,0.29,42,1.65E+11,0.24602,1009448871,736.png
737,0.29,44,1.65E+11,0.25886,996534898.9,737.png
738,0.29,32,1.66E+11,0.25021,1039041757,738.png
739,0.29,31,1.67E+11,0.25444,1076911862,739.png
740,0.29,34,1.65E+11,0.25135,1055134071,740.png
741,0.29,40,1.63E+11,0.25654,981452664.4,741.png
742,0.29,33,1.65E+11,0.2591,1091373305,742.png
743,0.29,32,1.67E+11,0.24615,980585807.1,743.png
744,0.29,41,1.64E+11,0.25956,997590191.9,744.png
745,0.29,34,1.64E+11,0.249,1026858222,745.png
746,0.29,33,1.69E+11,0.25041,1062632724,746.png
747,0.29,60,1.63E+11,0.2576,1003530540,747.png
748,0.29,43,1.66E+11,0.24427,1021159770,748.png
749,0.29,36,1.65E+11,0.24869,1046794794,749.png
750,0.29,46,1.65E+11,0.25241,961665386.3,750.png
751,0.3,35,1.68E+11,0.25259,1037056404,751.png
752,0.3,37,1.69E+11,0.24907,1031539030,752.png
753,0.3,31,1.69E+11,0.24538,988514195.8,753.png
754,0.3,45,1.68E+11,0.2418,1075235223,754.png
755,0.3,35,1.70E+11,0.24938,1021019143,755.png
756,0.3,39,1.68E+11,0.2511,1000112499,756.png
757,0.3,43,1.69E+11,0.22592,917969039.8,757.png
758,0.3,33,1.69E+11,0.25207,1009512845,758.png
759,0.3,37,1.68E+11,0.2463,1028629968,759.png
760,0.3,41,1.69E+11,0.24668,1079185830,760.png
761,0.3,37,1.69E+11,0.25186,1012830400,761.png
762,0.3,47,1.70E+11,0.24715,929933154.3,762.png
763,0.3,42,1.69E+11,0.24774,1029422767,763.png
764,0.3,40,1.68E+11,0.25154,1029493046,764.png
765,0.3,51,1.64E+11,0.2509,931352831.4,765.png
766,0.3,52,1.64E+11,0.24668,884782981.6,766.png
767,0.3,38,1.68E+11,0.24698,962934893.8,767.png
768,0.3,32,1.68E+11,0.2439,919987374.2,768.png
769,0.3,43,1.66E+11,0.25022,1022150856,769.png
770,0.3,35,1.69E+11,0.31209,1019364017,770.png
771,0.3,36,1.68E+11,0.24996,1066065356,771.png
772,0.3,34,1.71E+11,0.24705,1147864827,772.png
773,0.3,36,1.66E+11,0.25868,966009252.7,773.png
774,0.3,37,1.68E+11,0.2498,1001741469,774.png
775,0.3,41,1.67E+11,0.2509,967406638.6,775.png
776,0.31,45,1.69E+11,0.24785,1080957947,776.png
777,0.31,41,1.71E+11,0.23954,994944289.3,777.png
778,0.31,41,1.72E+11,0.25735,1038633790,778.png
779,0.31,36,1.72E+11,0.24494,1019010109,779.png
780,0.31,43,1.69E+11,0.24842,914424398.6,780.png
781,0.31,49,1.69E+11,0.23862,1059857125,781.png
782,0.31,50,1.70E+11,0.24759,1049974637,782.png
783,0.31,44,1.70E+11,0.24945,1075537654,783.png
784,0.31,41,1.72E+11,0.24451,1112508439,784.png
785,0.31,26,1.73E+11,0.24536,1106451523,785.png
786,0.31,25,1.75E+11,0.24012,1114842994,786.png
787,0.31,47,1.71E+11,0.24455,981938537.1,787.png
788,0.31,47,1.69E+11,0.24884,1060755045,788.png
789,0.31,39,1.71E+11,0.24556,944355109.8,789.png
790,0.31,43,1.70E+11,0.25285,1015086376,790.png
791,0.31,45,1.68E+11,0.24421,1021638911,791.png
792,0.31,42,1.72E+11,0.24943,929577485.3,792.png
793,0.31,37,1.70E+11,0.25801,948408060,793.png
794,0.31,39,1.71E+11,0.25059,1009380280,794.png
795,0.31,46,1.69E+11,0.24837,959986795,795.png
796,0.31,33,1.73E+11,0.24974,1050309127,796.png
797,0.31,36,1.72E+11,0.23639,1012018468,797.png
798,0.31,43,1.72E+11,0.25268,1085251860,798.png
799,0.31,37,1.73E+11,0.24276,1020651993,799.png
800,0.31,28,1.74E+11,0.25068,1103246292,800.png
801,0.32,36,1.74E+11,0.24392,1043430515,801.png
802,0.32,40,1.74E+11,0.24411,1003922643,802.png
803,0.32,34,1.76E+11,0.23847,1047416029,803.png
804,0.32,47,1.73E+11,0.23251,1039028515,804.png
805,0.32,38,1.74E+11,0.24662,1091756480,805.png
806,0.32,50,1.73E+11,0.24728,926202829.9,806.png
807,0.32,31,1.75E+11,0.24369,1035090541,807.png
808,0.32,47,1.71E+11,0.25108,1009668968,808.png
809,0.32,44,1.75E+11,0.25335,1102807082,809.png
810,0.32,25,1.77E+11,0.23902,1089169343,810.png
811,0.32,34,1.74E+11,0.24526,1087408316,811.png
812,0.32,37,1.75E+11,0.2439,1007629544,812.png
813,0.32,41,1.74E+11,0.25087,1049130967,813.png
814,0.32,47,1.71E+11,0.25532,1036902943,814.png
815,0.32,45,1.71E+11,0.24808,946707697.4,815.png
816,0.32,49,1.72E+11,0.24632,1020416566,816.png
817,0.32,33,1.74E+11,0.24277,1077860420,817.png
818,0.32,44,1.73E+11,0.24391,931888508.4,818.png
819,0.32,38,1.74E+11,0.24422,1094727177,819.png
820,0.32,31,1.74E+11,0.24009,1037555987,820.png
821,0.32,40,1.72E+11,0.24114,1052965021,821.png
822,0.32,41,1.75E+11,0.25053,1072282669,822.png
823,0.32,47,1.73E+11,0.23938,968291970,823.png
824,0.32,39,1.73E+11,0.22069,1010216056,824.png
825,0.32,39,1.70E+11,0.2431,1032848561,825.png
826,0.33,45,1.75E+11,0.24301,977947752.3,826.png
827,0.33,36,1.79E+11,0.22455,1049051807,827.png
828,0.33,44,1.75E+11,0.24674,1081041160,828.png
829,0.33,43,1.75E+11,0.243,1091185452,829.png
830,0.33,40,1.77E+11,0.24332,1089796399,830.png
831,0.33,31,1.78E+11,0.2457,1116474780,831.png
832,0.33,38,1.76E+11,0.2424,982393405.8,832.png
833,0.33,32,1.78E+11,0.23918,1100675219,833.png
834,0.33,41,1.73E+11,0.24175,1041497237,834.png
835,0.33,46,1.75E+11,0.24408,941176390.8,835.png
836,0.33,36,1.77E+11,0.23888,1089029056,836.png
837,0.33,32,1.80E+11,0.2472,1077333608,837.png
838,0.33,42,1.76E+11,0.25274,1062637504,838.png
839,0.33,39,1.75E+11,0.2468,976591873.5,839.png
840,0.33,31,1.77E+11,0.23609,1030454096,840.png
841,0.33,46,1.75E+11,0.2437,1069034180,841.png
842,0.33,43,1.76E+11,0.23963,1067995557,842.png
843,0.33,35,1.81E+11,0.24351,1095874827,843.png
844,0.33,40,1.79E+11,0.24217,1064431512,844.png
845,0.33,43,1.77E+11,0.23431,1091782312,845.png
846,0.33,44,1.76E+11,0.23704,987615078.9,846.png
847,0.33,48,1.73E+11,0.24324,1074330911,847.png
848,0.33,42,1.74E+11,0.24218,1027918290,848.png
849,0.33,31,1.78E+11,0.24252,1138497472,849.png
850,0.33,32,1.82E+11,0.24427,1076872157,850.png
851,0.34,37,1.82E+11,0.23511,1109169504,851.png
852,0.34,39,1.80E+11,0.23465,1116442882,852.png
853,0.34,41,1.77E+11,0.23651,1052335501,853.png
854,0.34,41,1.82E+11,0.23128,1033564114,854.png
855,0.34,44,1.79E+11,0.23062,1059963819,855.png
856,0.34,46,1.79E+11,0.24514,1080343289,856.png
857,0.34,34,1.81E+11,0.23151,1093127663,857.png
858,0.34,28,1.85E+11,0.23392,1093865362,858.png
859,0.34,44,1.80E+11,0.24516,1121321847,859.png
860,0.34,38,1.79E+11,0.2361,1079607535,860.png
861,0.34,35,1.79E+11,0.23911,1070103068,861.png
862,0.34,37,1.81E+11,0.23764,1096433345,862.png
863,0.34,31,1.85E+11,0.23961,1151247309,863.png
864,0.34,42,1.78E+11,0.23388,1053284523,864.png
865,0.34,45,1.79E+11,0.23752,1090506953,865.png
866,0.34,45,1.80E+11,0.23834,1076182594,866.png
867,0.34,40,1.77E+11,0.24135,1065190300,867.png
868,0.34,47,1.77E+11,0.23472,1126549459,868.png
869,0.34,35,1.83E+11,0.24135,1032927902,869.png
870,0.34,50,1.79E+11,0.24488,1147138581,870.png
871,0.34,27,1.82E+11,0.2429,1094178494,871.png
872,0.34,33,1.80E+11,0.2311,1015505879,872.png
873,0.34,40,1.82E+11,0.24055,1086074550,873.png
874,0.34,28,1.82E+11,0.2396,1127892510,874.png
875,0.34,54,1.76E+11,0.24827,980088331.3,875.png
876,0.35,33,1.86E+11,0.24118,1113798379,876.png
877,0.35,38,1.83E+11,0.23673,1116158798,877.png
878,0.35,36,1.84E+11,0.23831,1118678204,878.png
879,0.35,38,1.83E+11,0.23698,1097202215,879.png
880,0.35,47,1.81E+11,0.23043,1068177585,880.png
881,0.35,30,1.83E+11,0.23977,1121207535,881.png
882,0.35,34,1.83E+11,0.23082,1056547036,882.png
883,0.35,49,1.80E+11,0.2464,952576650,883.png
884,0.35,35,1.84E+11,0.23662,1126926570,884.png
885,0.35,43,1.82E+11,0.25007,1143502224,885.png
886,0.35,36,1.83E+11,0.23253,1059042557,886.png
887,0.35,38,1.83E+11,0.23922,1121322879,887.png
888,0.35,30,1.83E+11,0.24382,1042375001,888.png
889,0.35,47,1.79E+11,0.24244,918956857.6,889.png
890,0.35,37,1.84E+11,0.25362,1121145816,890.png
891,0.35,52,1.84E+11,0.25099,1029566522,891.png
892,0.35,42,1.85E+11,0.23548,1105506214,892.png
893,0.35,51,1.83E+11,0.23824,991325489.8,893.png
894,0.35,35,1.84E+11,0.23489,1090141950,894.png
895,0.35,34,1.86E+11,0.24655,1077964364,895.png
896,0.35,36,1.82E+11,0.24344,1033839069,896.png
897,0.35,28,1.85E+11,0.23786,1148674206,897.png
898,0.35,35,1.83E+11,0.23487,1154785983,898.png
899,0.35,55,1.81E+11,0.23648,1107515559,899.png
900,0.35,41,1.85E+11,0.2371,1017516580,900.png
901,0.36,34,1.87E+11,0.22836,1141717711,901.png
902,0.36,39,1.86E+11,0.23014,1128959266,902.png
903,0.36,49,1.82E+11,0.2424,978158431.6,903.png
904,0.36,51,1.82E+11,0.23436,1054609796,904.png
905,0.36,39,1.87E+11,0.23773,1207041158,905.png
906,0.36,45,1.84E+11,0.24882,996203558.3,906.png
907,0.36,41,1.83E+11,0.23617,998327436.1,907.png
908,0.36,34,1.88E+11,0.23496,983601894.4,908.png
909,0.36,46,1.87E+11,0.23451,1062062578,909.png
910,0.36,34,1.86E+11,0.24892,1065684206,910.png
911,0.36,37,1.88E+11,0.23635,1187287950,911.png
912,0.36,45,1.87E+11,0.24163,1112522776,912.png
913,0.36,32,1.88E+11,0.23694,1071095609,913.png
914,0.36,39,1.86E+11,0.23114,1104925893,914.png
915,0.36,43,1.83E+11,0.22915,1022352389,915.png
916,0.36,41,1.85E+11,0.24269,1083388270,916.png
917,0.36,40,1.86E+11,0.22566,1097930858,917.png
918,0.36,34,1.87E+11,0.24211,1163769176,918.png
919,0.36,40,1.87E+11,0.23841,1068654365,919.png
920,0.36,40,1.85E+11,0.22484,1043882774,920.png
921,0.36,37,1.87E+11,0.23159,1028422506,921.png
922,0.36,28,1.90E+11,0.2412,1160579071,922.png
923,0.36,44,1.85E+11,0.22599,1124968731,923.png
924,0.36,29,1.90E+11,0.23187,1160481688,924.png
925,0.36,40,1.85E+11,0.23396,1097714124,925.png
926,0.37,53,1.85E+11,0.22864,1065464364,926.png
927,0.37,43,1.89E+11,0.24249,1109824111,927.png
928,0.37,40,1.88E+11,0.25684,1156491298,928.png
929,0.37,43,1.86E+11,0.22684,1038679936,929.png
930,0.37,36,1.90E+11,0.22288,1136857873,930.png
931,0.37,44,1.87E+11,0.22719,1147524484,931.png
932,0.37,36,1.90E+11,0.23242,1095342658,932.png
933,0.37,35,1.90E+11,0.23298,1099997785,933.png
934,0.37,45,1.92E+11,0.21339,1157120373,934.png
935,0.37,31,1.89E+11,0.23489,1058786990,935.png
936,0.37,38,1.93E+11,0.23111,1125906075,936.png
937,0.37,38,1.89E+11,0.22715,1052921936,937.png
938,0.37,37,1.91E+11,0.23061,1123985515,938.png
939,0.37,40,1.90E+11,0.23338,1098359710,939.png
940,0.37,39,1.88E+11,0.22758,1098442226,940.png
941,0.37,46,1.86E+11,0.23389,952552580.2,941.png
942,0.37,34,1.91E+11,0.23074,1064807088,942.png
943,0.37,40,1.89E+11,0.23324,1196241840,943.png
944,0.37,41,1.89E+11,0.22518,1098644623,944.png
945,0.37,39,1.88E+11,0.22851,1130220155,945.png
